Tallformatet viser til kolonnenummer:
0=Pos_vs_Hastighet, 1=Forward_vs_Side, 
2=summeringAvPowerA, 3=powerA, 4=mellomRegninger 
0.0,0.0,0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0,0.0,1.1
0.0,0.0,0.0390625,0.0390625,1.1
0.0,0.0,0.15625,0.1171875,1.1
0.0,0.0,0.328125,0.171875,1.1
0.0,-0.07547169811320754,-0.5078125,-0.8359375,1.1
0.0,-0.11764705882352941,-2.4765625,-1.96875,1.1
0.0,-0.12121212121212122,-5.453125,-2.9765625,1.1
0.0,-0.10714285714285714,-8.328125,-2.875,1.1
0.0,-0.09795918367346938,-11.12109375,-2.79296875,1.1
0.0,-0.11851851851851852,-14.080078125,-2.958984375,1.1
0.0,0.28865979381443296,-11.703125,2.376953125,1.1
0.0,-0.5714285714285714,-5.12890625,6.57421875,1.1
-1.0999999999999996,-0.52,6.47265625,11.6015625,1.1
-26.499999999999996,-0.5684647302904564,26.9375,20.46484375,1.1
-52.599999999999994,-0.78515625,57.34375,30.40625,1.1
-87.1,-0.8203125,89.15625,31.8125,1.1
-73.39999999999998,-0.6875,115.65625,26.5,1.1
-25.0,-0.65625,140.90625,25.25,1.1
8.5,-0.4892966360856269,152.767578125,11.861328125,1.1
82.1,-1.8333333333333333,154.462890625,1.6953125,1.1
124.0,1.0,154.783203125,0.3203125,1.1
121.9,-0.8421052631578947,152.357421875,-2.42578125,1.1
124.0,-3.0,133.763671875,-18.59375,1.1
188.1,-2.8529411764705883,103.716796875,-30.046875,1.1
217.5,-2.0948275862068964,66.201171875,-37.515625,1.1
220.79999999999998,-2.573170731707317,49.876953125,-16.32421875,1.1
102.1,2.75,54.212890625,4.3359375,1.1
34.0,-3.75,83.314453125,29.1015625,1.1
31.5,-4.258333333333334,123.001953125,39.6875,1.1
-108.0,-3.4527027027027026,162.634765625,39.6328125,1.1
-92.79999999999998,-3.254777070063694,202.25,39.615234375,1.1
-42.79999999999998,16.11764705882353,223.689453125,21.439453125,1.1
69.80000000000001,-1.2258064516129032,217.873046875,-5.81640625,1.1
161.5,-1.429530201342282,201.5234375,-16.349609375,1.1
230.5,-2.081967213114754,162.3125,-39.2109375,1.1
295.5,-1.8676470588235294,123.15625,-39.15625,1.1
286.5,-1.8676470588235294,84.0,-39.15625,1.1
244.39999999999998,-1.8676470588235294,44.84375,-39.15625,1.1
200.89999999999998,-1.8676470588235294,5.6875,-39.15625,1.1
164.79999999999998,-2.267857142857143,-33.5625,-39.25,1.1
131.5,-6.0,-32.162109375,1.400390625,1.1
-29.0,-1.0461538461538462,-26.9765625,5.185546875,1.1
-58.1,-1.8181818181818181,3.84375,30.8203125,1.1
-174.7,-1.5802469135802468,43.2109375,39.3671875,1.1
-190.29999999999998,-1.5058823529411764,82.546875,39.3359375,1.1
-151.1,-1.5058823529411764,121.8828125,39.3359375,1.1
-111.6,-1.5058823529411764,161.21875,39.3359375,1.1
-73.5,-1.5058823529411764,200.5546875,39.3359375,1.1
-35.0,-1.5058823529411764,239.890625,39.3359375,1.1
0.4000000000000057,-1.5058823529411764,279.2265625,39.3359375,1.1
38.5,-1.9248120300751879,318.70703125,39.48046875,1.1
75.80000000000001,-76.66666666666667,336.669921875,17.962890625,1.1
196.60000000000002,7.333333333333333,334.9453125,-1.724609375,1.1
263.6,-0.041666666666666664,334.8828125,-0.0625,1.1
279.0,-0.2737642585551331,329.771484375,-5.111328125,1.1
279.0,-0.3165322580645161,318.474609375,-11.296875,1.1
314.6,-0.3131115459882583,306.97265625,-11.501953125,1.1
312.2,-0.3131115459882583,295.470703125,-11.501953125,1.1
292.6,-0.2974559686888454,284.59375,-10.876953125,1.1
279.6,-0.3131115459882583,273.091796875,-11.501953125,1.1
278.4,-0.3131115459882583,261.58984375,-11.501953125,1.1
268.9,-0.3131115459882583,250.087890625,-11.501953125,1.1
264.9,-0.3131115459882583,238.5859375,-11.501953125,1.1
258.5,-0.3150684931506849,227.005859375,-11.580078125,1.1
252.1,-0.2974559686888454,216.12890625,-10.876953125,1.1
244.6,-0.2974559686888454,205.251953125,-10.876953125,1.1
237.4,-0.3522504892367906,192.1875,-13.064453125,1.1
246.0,-0.3639921722113503,178.654296875,-13.533203125,1.1
244.5,-0.2,175.646484375,-3.0078125,1.1
220.5,-0.046875,175.755859375,0.109375,1.1
212.1,0.035398230088495575,174.689453125,-1.06640625,1.1
210.0,0.3910891089108911,161.556640625,-13.1328125,1.1
224.8,0.39921722113502933,144.62109375,-16.935546875,1.1
243.7,0.5166340508806262,122.998046875,-21.623046875,1.1
257.5,0.45401174168297453,103.875,-19.123046875,1.1
243.1,0.45401174168297453,84.751953125,-19.123046875,1.1
227.2,0.5009784735812133,63.75390625,-20.998046875,1.1
219.0,0.5009784735812133,42.755859375,-20.998046875,1.1
209.39999999999998,0.39473684210526316,26.556640625,-16.19921875,1.1
180.9,-2.6666666666666665,24.080078125,-2.4765625,1.1
136.2,-1.0909090909090908,24.99609375,0.916015625,1.1
129.9,-3.0,25.92578125,0.9296875,1.1
